@name,value,#comment,#,#,#,str,#,#,#
attack_tonnage_mod,0.75,tonnage affecting attacker/defender (exponent),1,,,,,,
attack_ships_mod,0.65,number of ships affecting attacker/defender (exponent),1,,,,,,
tonnage_diff_threshold,10,"if one side have ratio of tonnage to other's tonnage above this value, try to omit some ships from battle",10,,,,,,
tonnage_diff_threshold_port_missions,7,"if one side have ratio of tonnage to other's tonnage above this value, try to omit some ships from battle",3,,,,,,
avoid_battle_vp,100,vp pentalty for avoiding battle,-100,,,,,,
port_capacity_penalty_threshold,2,threshold of Max. Port Capacity penalty,,,,,,,
port_capacity_penalty,0.5,Max. penalty of ship maintainance when Port Capacity becomes full over a threshold,,,,,,,
vp_to_funds_multiplier,7500,conversion of VP difference to money for the war winner,,,,,,,
avoid_per_tr_vp,75,vp penalty additionally per each defended merchant,-25,,,,,,
vp_min_multiplier,0.1,vp multiplier at max. campaign year (as compensation factor for the increased ship costs),,,,,,,
cost_to_vp,0.00085,ship's cost to vp conversion ratio,0.001,0.00115,,,,,
total_fleet_modifier_max_divisor,0.25,"The smaller, the larger impact will have a loss for a fleet according to total fleet",,,,,,,
total_fleet_vp_factor,0.1,"exponential factor increasing the VP influence according to Total fleet of opponent, if we want linear effect, we set it to 1. Smaller values increase the VP.",,,,,,,
peace_min_vp_difference,10000,minimum VP difference from enemy to trigger Peace Negotiations Event,15000,,,,,,
peace_enemy_vp_ratio ,1.5,minimum VP ratio of Winner for Peace Negotiations Event,,,,,,,
peace_vp_sum_prolonged_war,45000,minimum VP sum (Player+Enemy) to check for peace negotiations,,,,,,,
peace_treaty_chance_per_month,20,base chance to have peace after peace event,,,,,,,
player_decision_chance_agree,31,chance addition when player agrees for Peace,31,,,,,,
player_decision_chance_fight,-15,chance subtraction when player disagrees for Peace,-10,,,,,,
take_preparation_chance,0.75,chance that our proposal for war reparations is accepted,,,,,,,
peace_event_cooldown_turns_rnd_max,5,max. turns to trigger new peace negotiations after previous event,,,,,,,
tr_capacity_bonus,0.25,bonus to GDP for max. TR capacity,,,,,,,
ai_min_tr_capacity_expenses,7,ratio of expenses to Monthly Naval Funds to reduce TR Capacity to min. setting,,,,,,,
ai_max_tr_capacity_expenses,0.1,ratio of expenses to Monthly Naval Funds to increase TR Capacity to max. setting,,,,,,,
ai_shipyard_threshold_cost,0.25,ratio of expenses to Monthly Naval Funds to stop Shipyard development,,,,,,,
ai_min_crew_training_expenses,7,ratio of expenses to Monthly Naval Funds to reduce Crew Training to min. setting,,,,,,,
ai_max_crew_training_expenses,0.025,ratio of expenses to Monthly Naval Funds to increase Crew Training to max. setting,,,,,,,
ai_difficulty_normal_income_multiplier,1,modifier of AI GDP in Normal Difficulty Mode,,,,,,,
ai_difficulty_hard_income_multiplier,1.25,modifier of AI GDP in Hard Difficulty Mode,,,,,,,
ai_difficulty_legendary_income_multiplier,1.5,modifier of AI GDP in Legendary Difficulty Mode,,,,,,,
ai_difficulty_hard_tech_multiplier,1.2,modifier of AI tech n Hard Difficulty Mode,,,,,,,
ai_difficulty_legendary_tech_multiplier,1.3,modifier of AI tech in Legendary Difficulty Mode,,,,,,,
ai_opponent_replacement_money,5,how much money bonus is applied when a new AI Opponent replacement arrives.,,,,,,,
tr_capacity_cost,0.0015,percentage of GDP as max. cost of TR capacity,,,,,,,
tr_loss_income_modifier,0.0000012,proportion of nation income for 1x loss of TR,0.0000001,,,,,,
tr_loss_gdp_modifier,0.00000045,proportion of nation gdp for 1x loss of TR,,,,,,,
transport_capacity_factor,15,linear factor affecting how much % of transport capacity is growing per turn,,,,,,,
trLossesDissipateStep,0.05,step to reduce tr losses per turn,,,,,,,
tr_loss_factor,25,linear factor that affects how much transport capacity % is lost for every TR loss,,,,,,,
tr_combat_vp_modifier,75,"modifier for vp on TR that are lost in combat (without it, the VP is too small)",,,,,,,
tr_combat_vp_modifier_actual,0.1,"modifier for vp on TR that are lost in combat (without it, the VP is too small)",,,,,,,
naval_prestige_vs_unrest_threshold,0,"if naval prestige >= to this value, then no game over after revolution",,,,,,,
goverment_changed_naval_funds_penalty,0.5,penalty of state budget after revolution,,,,,,,
goverment_changed_penalty_decrease_per_turn,0.05,dissipation per turn of revolution penalty,,,,,,,
tr_loss_event_chance,100,chance of tr loss,,,,,,,
base_tr_loss,0.000066,linear factor that increases/decreases random TR losses per turn,,,,,,,
tr_loss_development,175000,modifier of TR losses depending on sum of Province development,,,,,,,
not_sunk_vp_mult,0.05,"if ship is not sunk (just damage), apply this mult to vp calculation",0.5,,,,,,
war_weariness_reputation,0,decrease of reputation each turn during war (TODO: make initial boost from respect and goverment type),0,,,,,,
war_weariness_respect,0,decrease of respect each turn during war,-2.5,,,,,,
vp_to_reputation,0.00225,"how vp from battle affects prestige, multiplier",0.002,,,,,,
vp_to_respect,0.00075,"how vp from battle affects unrest, multiplier",0.002,,,,,,
war_min_duration,5,minimal amount of turns for war before any peace,5,,,,,,
reputation_respect_to_peace,0.01,convertion mult from poor reputation/respect to peace chance,0.2,,,,,,
vp_to_peace,0.0001,convertion mult from poor relative vp to peace chance,0.002,,,,,,
music_draw_vp_threshold,2500,threshold of vp during to consider music playing for draw or win/lose,300,,,,,,
operational_range_multiplier,4,Ships will need to travel distance >=operational_range_multiplier * Operational Range,4,,,,,,
Withdraw_Speed_Factor,100,Power factor increasing the chance of Withdraw according to average speed of ships,3,,,,,,
Delay_Speed_Factor,100,Power factor increasing the chance of Delay according to average speed of ships ,3,,,,,,
port_damage_factor,0.1,How much damage is dealt in successful Port Strike missiions modifier,,,,,,,
port_damage_max_threshold,0.25,Max % of Port Damage in Port Strike mission,,,,,,,
initial_tr_transport_armed,0.1,Base Modifier for Armed Transports in Fleet,,,,,,,
#,,"Constructor, Autobuilder",,,,,,,
gun_gen_caliber_max,10,autobuilder's caliber influence on gun's choice,0.7,0.49,15,16,,,
gun_gen_caliber_min,1,autobuilder's caliber influence on gun's choice,0.7,0.49,15,16,,,
gun_gen_barrels_max,10,autobuilder's barrels amount influence on gun's choice,2.5,1.75,16,14,,,
gun_gen_barrels_min,1,autobuilder's barrels amount influence on gun's choice,1.5,1.05,16,14,,,
gun_gen_randomness,0.1,autobuilder's randomization to place not-best-guns,2,1.4,0.0015,1.3,,,
gun_gen_barrels_sec_max,10,autobuilder's barrels amount influence on gun's choice,-12,-8.4,16,14,,,
gun_gen_barrels_sec_min,1,autobuilder's barrels amount influence on gun's choice,-12,-8.4,16,14,,,
gun_gen_smallgunbarrels_max,1,autobuilder's caliber influence on gun's choice,-1,-0.7,15,16,,,
gun_gen_smallgunbarrels_min,0.1,autobuilder's caliber influence on gun's choice,-2,-1.4,15,16,,,
torpedo_gen_randomness,5,autobuilder's caliber influence on gun's choice,1.2 [1~2],0.125,1,2.2,,,
gun_expand_same_cal,0.25,gun's obstruction on the sides to same caliber guns,0.29,0.135,0.078335,0.43,,,
gun_expand_lower_cal,2,>= 4 inch gun's obstruction on the sides to lower caliber guns/torps,2.525,6.22,3.4,3.4,,,
gun_expand_lowest_cal,8,< 4 inch gun's obstruction on the sides to lower caliber guns/torps,5.5651,,,,,,
gun_expand_barbette,1.5,"gun obstruction on the sides of barbettes, disallowing shooting interference",,,,,,,
torpedo_expand,0.5,torpedo's obstruction on the sides,-0.2,0.515,0.41,1.1,,,
length_expand,0.0012,length expansion,-0.055,0.0033,0.0000575,0.06,0.064079,,
length_expand_lowcal,0.041,expanding Z collider for lower caliber guns,0.0505,,,,,,
tonnage_not_maximal_ratio,1,how much close to maximal tonnage will be randomly set,0.8 [0.6~1],0.63,0.39,0.39,,,
gun_minimal_shooting_sector,40,minimal area shooting sector for right mount choices (ai design),42.5,33,,,,,
snap_point_step,0.01375,,0.044,,,,,,
snap_point_max_try,5000,,,,,,,,
refit_configurable_z_gun,30,Configurable Z length for Main Guns.,,,,,,,
refit_configurable_z_barbettes,50,Configurable Z length for Barbettes.,,,,,,,
refit_configurable_z_funnel,35,Configurable Z length for Funnels.,,,,,,,
refit_configurable_z_tower,30,ratio,,,,,,,
section_multiplier_hitpoints_weight_min,5,LERP the sections hitpoints with a modifier closest to borders,,,,,,,
section_multiplier_hitpoints_weight_max,14,LERP the sections hitpoints with a modifier closest to center,,,,,,,
#,,Battle Actual,,,,,,,
battle_duration,5400,"duration of battle, in seconds",5400,,,,,,
battle_distance_mod,1.5,global modifier for engagement starting distance (to enemy),1,,,,,,
battle_spread_mod,1.5,global modifier for engagement starting spread (between divisions),1,,,,,,
distance_step,500,step in m for starting distance,500,1500,,,,,
spread_step,100,step in m for friendly divisions spread,100,850,,,,,
speed_modifiers_total,7,total amount of speed modifiers below,6,,,,,,
speed_threshold_1,0.01,"if speed of ship is above this (knots), every excessing value will be multiplied...",0.01,speed input,23,0.01,,,
speed_mult_1,1.18,...multiplied by this modifier,1.35,,,1.02,,,
speed_threshold_2,6,see above,12,after speed modified-1,27.1,11,,,
speed_mult_2,1.12,see above,1.1,,,1.03,,,
speed_threshold_3,12,see above,21,after speed modified-2,29.6,21,,,
speed_mult_3,1.15,see above,1.03,,,1.04,,,
speed_threshold_4,18,see above,21,after speed modified-2,32.2,21,,,
speed_mult_4,1.2,see above,1.03,,,1.04,,,
speed_threshold_5,21,see above,26,after speed modified-3,35,1.0575,,,
speed_mult_5,1.25,see above,1.04,,,,,,
speed_threshold_6,23,see above,30,after speed modified-4,38.5,,,,
speed_mult_6,1.3,see above,1.05,,,,,,
speed_threshold_7,28,see above,33,after speed modified-5,43.1,,,,
speed_mult_7,1.325,see above,1.06,,,,,,
speed_threshold_8,33,see above,33,after speed modified-5,48,,,,
speed_mult_8,1.35,see above,1.06,,,,,,
speed_torpedo_mod,1,additional speed multipier for torpedo (after ship's modifiers),1,after speed modified-6,53.2,,,,
speed_shell_mod,1,"divisor on shell's flight time, affecting its speed and trajectory",1.39,1.7,,,,,
air_drag_coef,8.65,"modifier shaping up the shell ballistics, the bigger, the less speed dumping ",2.175,2.8,,,,,
shell_kinetic_energy_mod,5.319,modifier for adjusting the landing speed of shells (allows curvy trajectories and shells do not land as feathers),,,,,,,
gun_range_mod,1,multiplier to convert real world gun range into game gun range (usually something like 0.2-1),1,,,,,,
reload_speed_mod,1,gun's reload speed multiplier,1,,,,,,
torpedo_ammo,2,amount of torpedo launches per barrels,3,,,,,,
torpedo_reload,450,torpedo reload time in seconds,120,torpedo - range to target (m):,8000,,,,
torpedo_inaccuracy,0.025,inaccuracy ratio as ratio of path which can be offsetted randomly,0.01,torpedo inaccuracy will be: (+/- m),40,,,,
torpedo_detection_base,700,base detection range of torpedoes (meters),1000,,,,,,
rotation_speed_gun_2,5.5,"rotation speed for 2"" gun (deg/sec)",32.7,10,,,,,
rotation_speed_gun_18,1.65,"rotation speed for 18"" gun (deg/sec)",109,1,,,,,
rotation_speed_torpedo,9,rotation speed for all torpedo launcher (deg/sec),20,9,,,,,
surface_deck_to_side_ratio,2,ratio between deck surface to one side surface,2,,,,,,
long_range_start,5500,"start range, where long-range starts to apply",10000,-1500,,,,,
long_range_end,40000,"end range, where and above long-range have full effect",20000,48000,,,,,
shell_max_distance_dispersion,1500,,,,,,,,
max_shell_dispersion,65,,,,,,,,
reduce_disp_same_gun_min,0.0000001,reduced dispersion for the same turret,,,,,,,
reduce_disp_same_gun_max,0.00000007,reduced dispersion for the same turret,,,,,,,
splash_disp_range_far,49000,reference range for long-range dispersion of splashes,10000,49000,,,,,
splash_disp_close,2,"dispersion of splashes at zero range (range, in m)",30,161,150,,,,
splash_disp_far,575,"dispersion of splashes at long range range (range, in m)",150,1600,660,,,,
splash_disp_normal_worst,0.5,dispersion horizontal increase (multiplier) for normal shooting,1.5 (1~2.5),1.8,1.26,,,,
splash_disp_aiming_worst,0.35,dispersion horizontal increase (multiplier) for beginning of aiming (will scale to normal when aiming ends),10 (2~12),0.9,0.63,,,,
splash_overhead_range_far,2000,far range for below values,3000,4450,,,,,
splash_overhead_close,10,dispersion horizontal increase (multiplier) if miss overhead (behind) of enemy (minimal range),3,4.8,6.24,,,,
splash_overhead_far,3.75,dispersion horizontal increase (multiplier) if miss overhead (behind) of enemy (far range),1,1.45,1.885,,,,
ammo_normal_gun_acc_threshold,0.11,normal-ammo accuracy threshold to start/stop firing guns (less will fire more agressively),1.5,0.3,,,,,
ammo_save_gun_acc_threshold,3.75,save-ammo accuracy threshold to start/stop firing guns (less will fire more agressively),3,10,,,,,
ammo_normal_torp_acc_threshold,0.15,normal-ammo accuracy threshold to start/stop firing torpedoes (less will fire more agressively),5,0.2,,,,,
ammo_save_torp_acc_threshold,5,save-ammo accuracy threshold to start/stop firing torpedoes (less will fire more agressively),10,5,,,,,
ammo_gun_always_shoot_range,5750,closer than this range will always shoot guns for normal/save ammo (meters),1000,2750,,,,,
ammo_torp_always_shoot_range,3000,closer than this range will always shoot torpedoes for normal/save ammo (meters),800,1000,,,,,
engine_vibrations_base,0.2,engine vibrations accuracy penalty,,,,,,,
engine_vibrations_dissipating_speed,0.5,engine vibrations dissipating speed: Refactored,,,,,,,
multi_targeting_self_base,0.275,multi targeting self base,,,,,,,
multi_targeting_other_base,0.325,multi targeting other base,,,,,,,
gun_recoil_factor,1,gun recoil factor: Refactored,,,,,,,
gun_recoil_maxfactor,0.5,gun recoil maxfactor: Refactored,,,,,,,
gun_recoil_dissipating_speed,0.15,gun recoil dissipating speed: Refactored,,0.000011,,,,,
#,,Weather,,,,,,,
wind_height,2000,sound of wind playing height,2000,,,,,,
motion_min_start,0.1,above this waves power the motion start to raise (0~12),1 [0~12],,,,,,
motion_min,0.05,ship's motion at minimal (above) waves ,0.5 [0.1~1],,,,,,
motion_max,2,ship's motion at maximal (12) waves ,3 [1~3],,,,,,
weather_to_wind_from,-1.5,from-to random offset for weather-to-wind convertion,-1.5 [-3~0],,,,,,
weather_to_wind_to,1.5,from-to random offset for weather-to-wind convertion,2.5 [0~3],,,,,,
wind_to_waves_from,-1,from-to random offset for wind-to-waves convertion,-1.5 [-3~0],,,,,,
wind_to_waves_to,1,from-to random offset for wind-to-waves convertion,1.5 [0~3],,,,,,
#,,Aiming,,,,,,,
danger_low_threshold,1.00E-37,minimal threshold to promote shooting not-dangerous targets NOT USED,0.1,,,,,,
new_aim_threshold,5.00E-36,relative threshold to change to better target NOT USED,0.5,,,,,,
max_targeting_confidence,0.15,"crew factor which improves aiming (bigger is better, max=1)",,,,,,,
targeting_confidence_smoothen,0.01,smoothening the targeting delta per salvo with this factor (bigger value makes the targeting progress to grow faster),,,,,,,
#,,Accuracy,,,,,,,
obscured_visibility_penalty,0.5,penalty when ship is not directly visible but become spotted when it fires,,,,,,,
reveal_position,5,chance to become revelead after a shot if the ship is out of spotting range,,,,,,,
behind_smoke_detection,0.6,penalty of detection when behind smoke,,,,,,,
accuracy_aim_lowest,0.1,penalty on aiming if starting ladder aiming,0.2,0.5,,,,,
target_locked_base,1.95,target locked additional accuracy (power base) (https://www.desmos.com/calculator/qftyff3m9m),1,1,1,,,,
target_locked_exp,1.675,target locked additional accuracy (exponent),0.05,0.5,0.425,,,,
aim_close_dist_begin,0.05,"range, where close range aim boost will be maximal (ratio of gun's max range)",0,0,,,,,
aim_close_dist_end,1,"range, where close range aim boost will be lerped to one (ratio of gun's max range)",0.15,0.95,,,,,
aim_close_modifier,10,aim boost at point-blank range (multiplier),3,4.3,6.5,,,,
aim_far_modifier,5,aim penalty at farest range (multiplier),0.3,0.3,,,,,
aim_far_dist_begin,0,"range, where far range aim penalty will be lerped to one (ratio of gun's max range)",0.5,0.951,,,,,
aim_far_dist_end,1,"range, where far range aim penalty will be maximal (ratio of gun's max range)",1,1,,,,,
aim_bearing_change_threshold,0.00001,start threshold to apply bearing change effect (degrees),15,0.0001,,,,,
aim_bearing_change_convert,750,"if relative bearing has changed by this degrees (in power), penalty from rel bearing change will be maximal (degrees)",90,1,10,,,,
aim_bearing_penalty_max,1.00E+03,highest multiplier to apply if relative bearing changed (multiplier),0.2,0.001,0.0001,,,,
aim_range_change_threshold,0.00001,start threshold to apply range change effect (meters),50,0.0001,0.0001,,,,
aim_range_change_convert,500,"if range has changed by this meters (in power), penalty from range change will be maximal (meters)",200,100,1000,,,,
aim_range_penalty_max,1.00E+03,highest multiplier to apply if range changed (multiplier),0.5,0.0001,0.0001,,,,
aim_convertion_lock,9.00E+06,modifier that affects increase of aim progress when hitting ship,9.27E+06,,,,,,
aim_convertion_lock_to_unlocked,1.55E+04,modifier that affects increase of aim progress when firing salvoes,1.63E+04,26500000,1.085,,,,
aim_decrease_base,5.00E+00,factor that affects aim decrease,5.20E+00,,,,,,
aim_decrease_factor,2.50E+01,additional factor that increases aim decrease sensitivity according to current aim,2.30E+01,,,,,,
acc_mod_vs_tiny_ship,0.17,change-to-hit modifier vs smallest possible ship NO LONGER USED,0.5,0.065,,,,,
acc_mod_vs_huge_ship,5.5,change-to-hit modifier vs very big ship NO LONGER USED,1.5,,,,,,
acc_speed_self_away,0.4,"between 0 or max speed and cruise speed, ratio of lerp slope start",0.5,,,,,,
acc_speed_self_close,0.9,...of lerp slope stop,0.9,,,,,,
acc_speed_self_mod,0.375,cruise speed accuracy bonus,0.25,,,,,,
acc_speed_target_fast_from,11,"fast target speed accuracy pentalty, speed of lerp slope start",15,,,,,,
acc_speed_target_fast_to,20,...speed of lerp slope end,35,20.125,,,,,
acc_speed_target_fast_mod,-0.8,fast target max accuracy penalty,-0.3,,,,,,
acc_speed_target_slow_from,0,"slow target speed accuracy boost, speed of lerp slope start",0,,,,,,
acc_speed_target_slow_to,10,...speed of lerp slope end,10,,,,,,
acc_speed_target_slow_mod,0.3,slow target max accuracy bonus,0.3,,,,,,
acc_turning_maxspeed,37,reference max. speed to evaluate maneuverability penalties,,,,,,,
acc_turning_self,-0.5,accuracy modifier due to self turning,-0.15,,,,,,
acc_turning_target,-0.25,accuracy modifier due to target turning,-0.15,,,,,,
barrel_sound_delay_ratio,0.2,multi-barrel gun' shooting sound: offset as ratio of shoot-delay,0.25 (0.05~0.33),0.2765,,,,,
smoke_obstruction,0.3,"accuracy malus, if shooting at target, obstructed by our own funnel's smoke",0.8,,,,,,
smoke_obstruction_enemy,0.3,accuracy penalty if shooting from funnel smoke from other ship in battle,,,,,,,
smoke_accuracy_incoming,-25,accuracy penalty if shooting at target in smoke,-30,,,,,,
smoke_accuracy_outgoing,-10,accuracy penalty if shooting from smoke,-5,,,,,,
smoke_duration,200,duration of smoke (sec),300,,,,,,
smoke_cooldown,400,cooldown of smoke ability (sec),300,,,,,,
smoke_range,700,distance from smoke start to protect ships,1500,,,,,,
near_flagman_range,1000,closer than this range to receive flagship bonus,1000,,,,,,
near_flagman_acc,0.05,accuracy bonus if near flagship,1.1,,,,,,
far_flagman_range,1750,further than this range to receive flagship penalty,10000,,,,,,
far_flagman_acc,-0.1,accuracy bonus if far from flagship,0.9,,,,,,
#,,Damage,,,,,,,
part_basic_size,0.45,fixed old issue: it is now a strict multiplier of part size for calculating dmg,10 [5~15],10.5,,,,,
main_gun_ricochet_chance,70,chance to richochet from main guns' turret,30,,,,,,
penetration_randomness,0.05,small randomness of penetration (ratio),0.1 [0~0.15],,,,,,
penetration_skewing,9,"right skewing of penetration randomness, additional multiplier (0-9)",0,0~9,,,,,
armor_damage_threshold,0.3,penetration threshold over armor to damage armor (ratio),0.8,0.4,,,,,
armor_damage,0.3,damage multiplier due to partial penetration,0.33,,,,,,
ap_base_ratio,0.6,The default AP/HE ratio for ship's shell rounds,,,,,,,
ap_base_weight_modifier,1.25,Modifier for AP weight,,,,,,,
he_base_weight_modifier,0.9,Modifier for HE weight,,,,,,,
over_penetration_threshold,3,penetration threshold over armor to over-penetration (ratio),10,,,,,,
over_penetration_min_armor,12.7,minimal amount of armor always present to track over-penetration (mm),25,,,,,,
over_penetration,0.15,damage multiplier due to over-penetration,0.33,,,,,,
penetration_1st_layer_reduction,0.6,Base Reduction of  penetration power after penetrating main belt/deck,,,,,,,
penetration_2nd_layer_reduction,0.3,Base Reduction of  penetration power after penetrating main belt/deck & 1st layer,,,,,,,
penetration_3rd_layer_reduction,0.125,Base Reduction of  penetration power after penetrating main belt/deck & 1st layer & 2nd layer,,,,,,,
penetration_turret_reduction,0.8,Base Reduction of  penetration power after penetrating side/top armor of turret,,,,,,,
barbette_armor_modifier,1.2,modifier to simulate the dissipation of shell/torpedo penetration after first hit,,,,,,,
barbette_extra_damage,2.5,Damage multiplier when penetrating barbettes,,,,,,,
he_use_threshold_low_anglemodifier,1.9,modifier for increasing the chance to switch to HE according to target angle,1.2,,,,,,
he_use_threshold_low,0.8,threshold of low penetration relative to belt to switch to high explosive shells,0.5,,,,,,
he_use_threshold_high,3.1,threshold of high penetration relative to belt to switch to high explosive shells,10,,,,,,
he_penetration_mod,0.2,penetration modifier from using he shells,0.2,,,,,,
ap_damage_mod,1,multipler for damage from armor piercing shells (guns),3,,,,,,
he_damage_mod,1.7,multipler for damage from high explosives shells (guns),3,,,,,,
no_ricochet_threshold,1.5,"n-penetration rule: if armor is too thin (n-times smaller than penetration), never ricochet",10,,,,,,
ricochet_angle_from,30,angle above this to side can produce ricochet (except he shells),45,,,,,,
ricochet_angle_to,40,angle above this will give maximal ricochet chance,60,,,,,,
ricochet_chance,55,"if ricochet is possible due to angle, chance if its happening",70,,,,,,
flash_fire_armor_mod,0.5,multipier to increase armor to trigger flash fire,1 [1~2],,,,,,
ammo_detonation_armor_mod,0.1,multipier to increase armor for ammo storage from turret's armor,1.1 [1~2],,,,,,
ammo_detonation_torp_dam_to_pen,1.75,"convertion of torpedo damage to penetration (multiplier), for ammo detonation",1,,,,,,
ammo_detonation_chance,155,ammo detonation chance (if penetrated),20,33,,,,,
ammo_detonation_chance_torp,55,ammo detonation chance for torpedo hits (if penetrated),35,,,,,,
torpedo_detonation_chance_mod,100,torpedo launcher detonation chance if destroyed,50,,,,,,
ammo_detonation_big_cal,24,below this inch caliber size ammo storage is much more smaller,12,10,,,,,
flashfire_big_cal,24,below this inch flash fire chance is much smaller,12,,,,,,
ammo_detonation_maxdamage,20000,damage that totally depletes the exploded ammo,,,,,,,
section_damage_ammo_detonation,1950,basic damage to section if ammo storage detonated,1000,,,,,,
torpedo_damage_ammo_detonation,800,base damage caused by torpedo launcher detonation,,,,,,,
torpedo_detonation_maxdamage,1500,damage that totally depletes the exploded torpedo ammo,,,,,,,
surv_ammo_detonation_dam_decrease,40,percent ammo detonation damage decrease (from max survivability),65,,,,,,
section_fire_chance_ammo_detonation,2000,chance for fire if ammo storage detonated,200,,,,,,
section_flooding_chance_ammo_detonation,2000,chance for flooding if ammo storage detonated,100,,,,,,
module_damage_chance_ammo_detonation,160,chance for module damage if ammo storage detonated,80,,,,,,
flash_fire_chance,130,"chance to ""start"" flash fire if can ammo detonate (but not detonated) (not explode yet)",20,70,,,,,
flash_fire_time,9,delay before flash fire explosion,30,30,,,,,
flash_fire_time_spread,7,"same, but for flash fires started from spreading",10,,,,,,
flash_fire_explosion_chance,110,chance for happening flash fire to explode,50,50,,,,,
section_damage_flash_fire,4000,basic damage from flash fire,1000,,,,,,
flash_fire_spread_chance_explode,150,chance for flash fire to spread if exploded,80,,,,,,
flash_fire_spread_chance_nonexplode,85,chance for flash fire to spread if not exploded,25,,,,,,
damage_randomness,0.99,small randomness of damage (ratio) (for guns),0.2,,0.75,,,,
damage_skewing,9,"right skewing of damage randomness, additional multiplier (0-9)",0,0~9,5,,,,
damage_randomness_torpedo,0.375,small randomness of damage (ratio) (for torpedoes),0.2,,0.3,,,,
damage_skewing_torpedo,4.5,"right skewing of torpedo damage randomness, additional multiplier (0-9)",0,0~9,4,,,,
section_damage_gun,1005,base damage to section (from gun),15,149,,,,,
section_fire_chance_gun,8,basic chance of fire in section (from gun),10,,,,,,
section_fire_chance_gun_deck,12.5,"same, but special chance of fire if hit deck sections",10,,,,,,
section_flooding_chance_gun,0.25,basic chance of flooding in section (from gun),20,,,,,,
module_damage_chance_gun,50,basic chance of damage to module (if present) to module (from gun),20,,,,,,
section_damage_torpedo,1010,base damage to section (from torpedo),70,275,,,,,
torpedo_dud_base_chance,55,base chance for not exploding torpedoes,60,,,,,,
