@name,value,#comment,#,#,#,str,#,#,#
torpedo_premature_explosion_chance_mod,0.07,modifier to dud torpedo chance that can trigger premature explosion of the torpedo,,,,,,,
torpedo_deviation_chance_mod,0.4,modifier to dud torpedo chance that can trigger deviation of path for the torpedo,,,,,,,
section_fire_chance_torpedo,15,basic chance of fire in section (from torpedo),15,,,,,,
section_flooding_chance_torpedo,10,basic chance of flooding in section (from torpedo),80,,,,,,
module_damage_chance_torpedo,75,basic chance of damage to module (if present) to module (from torpedo),50,,,,,,
flooding_mod_chance_from_damage,1000,"multiplier to chance of flooding, if section is fully damaged (linearly scaled)",3,610,,,,,
destroyed_section_damage_penalty,0.2,,,,,,,,
damage_section_spread_mod,0.6,multiplier for damage spreading to other sections,0.6,,,,,,
engine_hp_to_fcap,0.001,convertion of engine's hp power to fcap requirement (multiplier),0.001,,,,,,
engine_slowdown,90,max slowdown of ship due to engine damage (percent),90,,,,,,
structure_slowdown,40,max slowdown of ship due to structure damage (percent),50,,,,,,
flooding_slowdown,80,max slowdown of ship due to flooding (percent),80,,,,,,
surv_flooding_slowdown_decrease,55,survivability effect of decrease of flooding slowdown (percent) (from max survivability),40,,,,,,
slowdown_max_single,95,limit for slowdown from any single factor (percent),95,,,,,,
slowdown_max_all,99,limit for slowdown combined all-together (percent),99,,,,,,
damage_fire_control_to_pen_conversion,0.2,modifer of damage dealt to main tower to convert it to armor check vs A.Superstructure,,,,,,,
damage_con_tower_to_pen_conversion,1,modifer of damage dealt to main tower to convert it to armor check vs A.ConningTower,,,,,,,
hit_chance_conning_tower,50,chance to hit conning tower if main tower is hit,20,,,,,,
hit_chance_fire_control,50,chance to hit fire control if main tower is hit,20,,,,,,
conning_tower_damage_acc_loss,0.85,loss of accuracy due to damaged conning tower,0.5,,,,,,
fire_control_damage_acc_loss,0.7,loss of accuracy due to damaged fire control,0.35,,,,,,
fire_damage,0.5,base fire damage percent per second (to structure),0.5,,,,,,
fire_damage_part,0.1,base fire damage percent per second (to part),,,,,,,
surv_fire_decrease,65,percent decrease of fire damage due to fire (from max survivability),65,,,,,,
flooding_water,2.15,base flooding water percent increase per second (to water level),1,2.5,,,,,
pump_water,0.4,remove water by pumps from non-destroyed sections,0.2,,,,,,
surv_flooding_decrease,55,percent decrease of water from flooding (from max survivability),80,,,,,,
surv_pump_increase,50,percent of pumping increase (from max survivability),100,,,,,,
fire_stop_chance,35,basic chance to stop fire (every 10 seconds),10,,,,,,
flooding_stop_chance,10,basic chance to stop flooding (every 10 seconds),5,,,,,,
surv_flooding_stop,10,percent additional increase of flooding stop chance (from max survivability),10,,,,,,
water_stop_fire,80,threshold of water level (due to flooding) to stop any fire in section,80,,,,,,
fire_min_dur,45,minimal duration of fire (in seconds),15,,,,,,
flooding_min_dur,30,minimal duration of flooding (in seconds),15,,,,,,
water_spread_threshold,25,threshold of water level to start spreading into nearby sections (percent),80,,,,,,
water_spread_flood_mod,0.4,water spreading multiplier relative to normal flooding (affected by surv too),0.2,,,,,,
fire_spread_chance,20,"chance of fire to spread to one nearby section (percent chance, every 10 sec)",5,,,,,,
ap_fire_mod,0.8,fire chance multiplier for ap rounds penetrations,3,,,,,,
he_fire_mod,3.5,fire chance multiplier for he rounds penetrations,3,,,,,,
repair_module_chance,5,chance to repair module (every 10 seconds),5,,,,,,
structure_sink,100,percent to be sunk of structure damage sum relative to total structure,40,,,,,,
fire_sink,90,percent to be sunk of sections with fire relative to all sections' amount,80,,,,,,
flooding_sink,65,percent to be sunk of flooding levels sum relative to total floodable sections,65,,,,,,
#,,Constructor Weights,,,,,,,
w_armor_belt,0.02,weight multiplier (from tonnage): armor belt,0.01086,0.01011235955,,,,,
w_armor_belt_extended,0.022,weight multiplier (from tonnage): armor belt extended,0.01136,0.01217532468,,,,,
w_armor_deck,0.027,weight multiplier (from tonnage): armor deck,0.01921,0.02105263158,,,,,
w_armor_deck_extended,0.018,weight multiplier (from tonnage): armor deck extended,0.02404,0.02403846154,,,,,
w_conning_tower,0.015,weight multiplier (from tonnage): amount of weight per 1 inch of armor,6.3,30,,,,,
w_conning_tower_threshold,1,weight multiplier (from tonnage): max armor conning tower weight,,,,,,,
conning_tower_armor_percent,0.05,weight multiplier (from tonnage): amount of weight per 1 inch of armor (for calculation of Limit),,,,,,,
w_superstructure,0.08,weight multiplier (from tonnage): superstructure armor ,,,,,,,
w_antitorpedo,0.03,weight multiplier (from tonnage): anti-torpedo/anti-mine defense,0.05882,0.075,,,,,
w_op_range_min,7,operational range minimun (percent from tonnage),3,3.6,,,,,
w_op_range_max,14,operational range maximum (percent from tonnage),15,12.6,,,,,
w_survivability_min,2,survivability weight minimum (percent from tonnage),0,2.5,,,,,
w_survivability_max,8,survivability weight maximum (percent from tonnage),10,10,,,,,
w_turret_barrels_2,1.6,turret base weight: multipliers for 2 barrels,1.8,1.6,,,,,
w_turret_barrels_3,2.5,turret base weight: multipliers for 3 barrels,2.48,2.4,,,,,
w_turret_barrels_4,3.3,turret base weight: multipliers for 4 barrels,3.1,3.2,,,,,
w_turret_barrels_5,4,turret base weight: multipliers for 5 barrels,3.6,4.5,,,,,
w_turret_casemate_mod,0.5,turret base weight: casemate modifier,0.75,0.6,,,,,
w_armor_turret,0.022,turret side weight: percent of base turret weight,0.06,0.11,,,,,
w_armor_turret_top,0.01,turret top weight: percent of base turret weight,0.03,0.125,,,,,
w_armor_barbette_turret,0.03,turret barbette weight: percent of base turret weight,,,,,,,
w_armor_secondaries,0.125,secondary (others are main) turret weight: percent of base turret weight,0.06,0.33,,,,,
w_small_gun_armor_threshold,9,min caliber for big guns,9,,,,,,
w_small_gun_side_armor_weight_threshold,0.05,gun side armor for small guns,0.275,,,,,,
w_small_gun_top_armor_weight_threshold,0.024,gun top armor for small guns,0.1,,,,,,
w_casemate_gun_side_armor_weight_threshold,0.05,casemate gun side armor,0.33,,,,,,
w_casemate_gun_top_armor_weight_threshold,0.024,casemate gun top armor,0.11,,,,,,
armor_limit_multiplier_big_guns,8,limit multiplier for big-guns,1,,,,,,
armor_limit_multiplier_small_guns,5.5,limit multiplier for small guns,1,,,,,,
armor_limit_multiplier_casemates,6,limit multiplier for casemates,1,,,,,,
armor_limit_multiplier_barbette_guns,3,limit multiplier for barbette guns caliber >= 5 inch.,1,,,,,,
w_ammo_caliber_pre_add,6,ammo weight: caliber pre-add,2,2,,,,,
w_ammo_caliber_exp,3.3,ammo weight: caliber exponent,3,3,,,,,
w_ammo_caliber_mult,0.01,ammo weight: caliber post-mult,0.02,0.04,,,,,
w_citadel_length,0.00585,Multiply HullWeight with an additional modifier related with Citadel Length,0.00382,,,,,,
w_hull_weight_modifier,0.35,modifier of the hull weight,0.615,,,,,,
w_super_barbette,0.0035,increase weight of the barbette from armor A.Barbette,0.00115,,,,,,
w_armor_barbette_gun_caliber_threshold,5,A.Barbette only for guns >=5 inch.,,,,,,,
w_1st_deck,0.007,weight multiplier for 1st Inner Deck,,,,,,,
w_2nd_deck,0.006,weight multiplier for 2nd Inner Deck,,,,,,,
w_3rd_deck,0.005,weight multiplier for 3rd Inner Deck,,,,,,,
w_1st_belt,0.0035,weight multiplier for 1st Inner Belt,,,,,,,
w_2nd_belt,0.003,weight multiplier for 2nd Inner Belt,,,,,,,
w_3rd_belt,0.002,weight multiplier for 3rd Inner Belt ,,,,,,,
#,,Constructor Stability,,,,,,,
citadel_offset_modifier,41500,modifier of the weight offset produced by Citadel center,,,,,,,
engine_weight_coef_mod,0.000004,modifier for engine weight which affects weight offset of ship according to the position of engine rooms,,,,,,,
stability_z_threshold,0.000012,"threshold of instability start (forward), New: Changed to work as weight tolerance delta",150,0.001,0.01,0.5,,,
stability_x_threshold,0.000012,"threshold of instability start (side), New: Changed to work as weight tolerance delta",100,0.0025,0.25,0.2,,,
stability_z_convert,2700000,convertion of value above threshold to instability (forward),150,65,410,50,,,
stability_x_convert,79000,convertion of value above threshold to instability (side),100,65,200,80,,,
stability_range_power,1.2,range exponent for stability,1,3.55,1.32,3.3,,,
stability_zz_threshold,-1137.5,threshold of momentum instability start (forward),-9100,-1137.5,,,,,
stability_xx_threshold,-853.125,threshold of momentum instability start (side),-6825,-853.125,,,,,
stability_zz_convert,50,divisor of momentum instability (forward),240,43.2,,,,,
stability_xx_convert,50,divisor of momentum instability (side),325,58.5,,,,,
instability_damage_ratio,0.065,multiplier from damage-received value to instability-due-to-damage stat,1,0.065,,,,,
instability_damage_decrease,0.03,"decrease of battle instability due to damage received (percent, per second)",1,0.045,,,,,
acc_instab_flooding,-50,convertion of instability due to flooding to own inaccuracy,-30 (-10~-80),-50,,,,,
acc_instab_damage,-50,convertion of instability due to damage-received to own inaccuracy,-30 (-10~-80),-50,,,,,
#,,Missions,,,,,,,
close_win_distance,250,"distance to win ""close"" mission, to be closer-than to enemy flagman",100,,,,,,
battle_end_duration,8,time to fade-out if battle ends (seconds),5,,,,,,
#,,Effects,,,,,,,
explosion_visual_damage_threshold,0,minimal amount of damage to show hit visual effect (damage),0 [0~10],,,,,,
explosion_size_min,3,size of explosion effect on minimal 1 damage (scale),3 [1~5],,,,,,
explosion_size_max,30,size of explosion effect on maximal 1000 damage (scale),15 [5~40],,,,,,
ammo_size_max,25,custom size of ammo detonation effect on maximal damage (scale),30,,,,,,
sink_size,38,size of sink explosions,5,,,,,,
show_tooltip_timer,0.1,Delay before appearance ToolTip,,,,,,,
#,,Speed,,,,,,,
rotation_speed_mod,1.05,modifier for ship's rotation speed,0.3,,,,,,
rotation_speed_change,0.1,modifier for ship's rotation change speed,0.05,,,,,,
acceleration_mod,0.256595625,modifier for ship's acceleration,1,0.3720636563,,,,,
deceleration_mod,0.19284375,modifier for ship's deceleration,2,0.1639171875,,,,,
rotation_speed_for_accuracy,2.75,rotation speed for have max accuracy penalty due to turning (deg/sec),1,,,,,,
acceleration_top_start,0.85,start of applying of acceleration-top (ratio of max speed),0.7,,,,,,
acceleration_bottom_from,0.35,end of applying of acceleration-bottom (ratio of max speed),0.2,,,,,,
acceleration_bottom_mod,1.5,modifier for acceleration if speed is slow (under acceleration-bottom ratio) (mult),3,,,,,,
cruising_speed,0.55,"cruise speed, to achieve accuracy bonus (as ratio of max speed) plus achieve fuel efficiency",0.75,,,,,,
speed_initial,0.8,initial speed at start of battle (as ratio of max speed),0.5,,,,,,
reverse_speed_modifier,0.45,max reverse speed,0.4,,,,,,
#,,Ai Division,,,,,,,
division_ships_from,2,"starting min amount of ships in division (can be less, if not enough ships)",3,,,,,,
division_ships_to,3,starting max amount of ships in division,5,,,,,,
spread_close,0.85,distance between ships range modifier for close spread,0.8,,,,,,
spread_far,1.25,distance between ships range modifier for far spread,2,,,,,,
initial_follow,15,percent of division following flagman at start of battle,0,0,,,,,
initial_scout,25,percent of division scouting flagman at start of battle,15,25,,,,,
initial_screen,25,percent of division screening flagman at start of battle,0,0,,,,,
initial_line,15,chance to have division in line formation (not column as usual),30,30,,,,,
division_following_gap,300,range between ships in same division,100,,,,,,
scout_range,3000,range to ally for scout order,,,,,,,
screen_range,1000,range to ally for scout order,400,,,,,,
follow_range,750,range to ally for follow order,300,,,,,,
divisions_space,1000,Minimum distance between divisions on the same axis (refactored),,,,,,,
ai_independent_range_away,6000,range limit for ai's independent divisions,3000,,,,,,
scout_range_away,5000,limit of range for scouting fleet to go away from ally,,,,,,,
screen_range_away,2000,limit of range for screening fleet to go away from ally,1000,,,,,,
optimal_battle_range_mulitplier,0.5,multiplier for optimal AI battle range when in division (Refactored),1,,,,,,
max_battle_lines_spread,3000,,,,,,,,
min_battle_lines_spread,1500,,,,,,,,
division_attack_offset,1500,preferable offset forward of target to attempt an attack route. Can be also negative.,,,,,,,
#,,Ai Ship,,,,,,,
general_retreat_threshold,0.11,ratio of own fleet's power to enemy to start general fleet retreat (keep lower than battle_avoid_threshold),0.5,,,,,,
division_retreat_threshold,0.8,threshold to start division retreat for division's estimated damage (average median),0.3,,,,,,
torpedo_evade_range,1500,"torpedo spotting range for evasion, half of it is used for torpedo prediction",800,test: 2000 or lower,,,,,
approach_clamp,1,Lmit of direction/away approach angle for ship's far away. Must not be >1. The bigger the sharper turns to reach the desired distance.,0.5 [0.3~1],,,,,,
approach_clamp_torpedoes,1,Approach logic for ships armed with torpedoes. The bigger the sharper turns to reach the desired distance.,,,,,,,
approach_clamp_no_guns,1,"Same, but if too far to shoot guns. The bigger the sharper turns to reach the desired distance.",0.95 [0.3~1],0.17,,,,,
ai_aggressiveness_exp_factor,1,"The bigger the number, the more profound the effect of AI personality. Very big values can bring ships to min or max ranges often. This is a power factor, it must not be a high number or very small number.",,,,,,,
ai_power_exp_factor,0.25,Ai estimation of power modifier. Modifier that increases the evaluated power of AI. Needs caution for not overflow or values that can be negligible at long distance.,,,,,,,
ai_risk_exp_factor,0.4,The bigger the value the less confident becomes the AI to approach. Modifier that increases the evaluated power of human. Needs caution for not overflow or values that can be negligible at long distance.,,,,,,,
ai_distance_mod,0.3,Control the optimal engage distance of AI. A modifier which determines the overall desired distance of AI.,,,,,,,
#,,Extra division params,,,,,,,
enemyShipsCollideDistanceModifier,0.9,Evasion Distance Modifier against Enemy Ships,,,,,,,
friendlyShipsCollideDistanceModifier,0.7,Evasion Distance Modifier against Friendly Ships,,,,,,,
max_stop_distance,100,"The maximum distance between the ship and the destination point, which is considered that the ship has reached the destination point.",,,,,,,
ship_movement_enemy_nodes_threshold,3,,,,,,,,
#,,New gun caliber modifiers,,,,,,,
max_gun_caliber_mod,0.9,,,,,,,,
min_gun_length_mod,-20,,,,,,,,
max_gun_length_mod,20,,,,,,,,
gun_length_weight_min,-0.1,,,,,,,,
gun_length_weight_max,1.1,,,,,,,,
gun_length_firerate_min,0.1,,,,,,,,
gun_length_firerate_max,-0.175,,,,,,,,
gun_length_velocity_min,-0.115,,,,,,,,
gun_length_velocity_max,0.115,,,,,,,,
gun_length_range_min,-0.0135,,,,,,,,
gun_length_range_max,0.0135,,,,,,,,
gun_diameter_step,0.1,,,,,,,,
gun_length_step,1,,,,,,,,
gun_length_extra_cost_min,-0.25,,,,,,,,
gun_length_extra_cost_max,1.5,,,,,,,,
min_casemate_length_mod,-10,,,,,,,,
max_casemate_length_mod,10,,,,,,,,
min_gun_caliber_mod,-0.9,Only for 2 inch base shell,,,,,,,
2_inch_min_scale_modifier,0.83,,,,,,,,
gun_length_penetration_min,-0.05,,,,,,,,
gun_length_penetration_max,0.075,,,,,,,,
barrel_length_estimator,2.29,,,,,,,,
default_caliber_lerp_min,5,,,,,,,,
default_caliber_lerp_max,70,,,,,,,,
default_caliber_velocity_min,0.62,,,,,,,,
default_caliber_velocity_max,0.9,,,,,,,,
default_caliber_range_min,0.85,,,,,,,,
default_caliber_range_max,1.2,,,,,,,,
default_caliber_penetration_min,0.85,,,,,,,,
default_caliber_penetration_max,1.1,,,,,,,,
default_caliber_firerate_min,1.3,,,,,,,,
default_caliber_firerate_max,0.7,,,,,,,,
rotation_speed_gun_weight_min,1.25,,,,,,,,
rotation_speed_gun_weight_max,0.5,,,,,,,,
rotation_speed_torpedo_weight_min,1.35,,,,,,,,
rotation_speed_torpedo_weight_max,0.4,,,,,,,,
bigger_amount_of_barrels_per_turret,4,,,,,,,,
gun_length_penetration_ver_min,0.9,,,,,,,,
gun_length_penetration_ver_max,1.1,,,,,,,,
gun_length_penetration_horiz_min,3.25,,,,,,,,
gun_length_penetration_horiz_max,1,,,,,,,,
gun_length_deck_hit_ratio_min,5.75,,,,,,,,
gun_length_deck_hit_ratio_max,1.25,,,,,,,,
gun_length_turret_weight_min,0.86,,,,,,,,
gun_length_turret_weight_max,1.2,,,,,,,,
#,,Extra WIP,,,,,,,
crew_heal_chance,10,,,,,,,,
base_max_crew_training,25,,,,,,,,
mine_sweep_radius_ratio,0.7,,,,,,,,
mine_sweep_default_capacity,0.00003,,,,,,,,
mine_sweepers_power_mod,0.5,,,,,,,,
mine_sweep_prevention,0.4,,,,,,,,
mine_sweeping_maintenance_multiplier,1.2,,,,,,,,
minefield_fleet_factor,30000,,,,,,,,
minefield_chance_factor,15000,,,,,,,,
max_minefield_size,300,,,,,,,,
min_minefield_size,50,,,,,,,,
minefield_dmg_factor_ships,0.2,,,,,,,,
minefield_dmg_factor_crew,0.175,,,,,,,,
minefield_hit_spenting,0.02,,,,,,,,
mines_cost_mod,8250,,,,,,,,
minesweep_cost_mod,11250,,,,,,,,
port_ammo_replenish_modifier,1.2,,,,,,,,
ammo_replenishment_sea_mod,0.5,,,,,,,,
ammo_auto_modifier,1.6,,,,,,,,
ammunition_cost_mod,3,additional multiplicative modifier for the ammunition cost,,,,,,,
recon_factor_tons_min,1000,,,,,,,,
recon_factor_tons_max,600,,,,,,,,
fuel_auto_modifier,300,,,,,,,,
fuel_auto_modifier_sub,2,,,,,,,,
ammo_auto_modifier_sub,0.25,,,,,,,,
speed_cruisingspeed_max_penalty,0.66,,,,,,,,
monthly_ship_speed_mod,0.7,,,,,,,,
low_fuel_threshold,10,,,,,,,,
distance_travelled_zone_mod,0.33,,,,,,,,
fuel_battle_max_throttle_mod,1.15,,,,,,,,
lowfuel_maintenance_multiplier,1.25,,,,,,,,
fuel_replenish_modifier,0.95,,,,,,,,
fuel_replenishment_sea_mod,0.4,,,,,,,,
fuel_cost_mod,0.008,,,,,,,,
speed_throttle_max_penalty,0.75,,,,,,,,
minor_ally_event_chance_base,0.05,,,,,,,,
minor_ally_event_chance_liked,0.55,,,,,,,,
minor_ally_place_order,0.3,,,,,,,,
minor_ally_new_ship_order_tonnage_threshold,12000,,,,,,,,
minor_ally_buy_used,0.9,,,,,,,,
ships_count_to_suspend,3,,,,,,,,
shipbuilding_capacity_ratio,0.11,,,,,,,,
improve_relations_chance,0.5,,,,,,,,
increase_tension_chance,0.75,,,,,,,,
effective_men_ratio,0.35,,,,,,,,
Army_Force_Cost_Factor,2500,,,,,,,,
navy_power_rating_divisor,85000000,,,,,,,,
major_nation_threat_chance,0.4,,,,,,,,
oil_per_capita_max_effect,15000000,,,,,,,,
nation_attack_power_ratio,1.5,,,,,,,,
land_battle_kills_factor,0.02,,,,,,,,
cancel_alliance_chance,0.5,,,,,,,,
#,,Submarines,,,,,,,
sub_defend_maintenance_multiplier,0.5,,,,,,,,
sub_unrestricted_maintenance_multiplier,1.5,,,,,,,,
submarine_stealth_stealth_power,10,,,,,,,,
submarine_stealth_speed_power,2.5,,,,,,,,
submarine_stealth_hullstrength_power,3,,,,,,,,
submarine_stealth_crew_power,0.75,,,,,,,,
submarine_combat_attack_power,7.75,,,,,,,,
submarine_combat_displacement_power,0.6,,,,,,,,
submarine_combat_stealth_power,1.85,,,,,,,,
submarine_combat_speed_power,0.55,,,,,,,,
submarine_combat_crew_power,0.5,,,,,,,,
submarine_combat_hullstrength_power,1.25,,,,,,,,
ship_vs_submarine_combat_asw,9.3,,,,,,,,
ship_vs_submarine_combat_speed,0.66,,,,,,,,
ship_vs_submarine_combat_tonnage,0.05,,,,,,,,
ship_vs_submarine_combat_crew,0.35,,,,,,,,
detection_vs_submarine_asw,7.85,,,,,,,,
detection_vs_submarine_speed,0.33,,,,,,,,
detection_vs_submarine_crew,0.33,,,,,,,,
submarine_ship_kills_ratio_mod,2.5,,,,,,,,
depthcharge_cost_mod,1050,,,,,,,,
sub_crew_damage_min,0.4,,,,,,,,
sub_crew_damage_max,0.85,,,,,,,,
submarine_group_base_limit,1,,,,,,,,
submarine_low_fuel_penalty,0.6,,,,,,,,
sub_defend_raidingPower_multiplier,0.75,,,,,,,,
sub_unrestricted_raidingPower_multiplier,2,,,,,,,,
sub_unrestricted_attackRange_multiplier,2,,,,,,,,
unrestricted_tr_losses_min,2.5,,,,,,,,
submarine_minefield_modifier,8,,,,,,,,
submarine_fuel_cost_modifier,1.1,,,,,,,,
sub_near_port_distance,360,,,,,,,,
submarine_group_range_mod,0.0001,,,,,,,,
army_support_factor,1,,,,,,,,
army_support_factor_enemy,5,5.5,3,,,,,,
army_support_factor_attack,30,6.7,18,,,,,,
army_support_factor_defend,5,7.5,3,,,,,,
minor_ally_depart_chance,0.2,,,,,,,,
action_cooldown_time,2,,,,,,,,
ally_support_distance_factor,5000,,,,,,,,
turns_last_diissolve_nation,1,,,,,,,,
colony_percent_army,0.05,"Must be <=1, represents percentage of foreign population that joins the army conscription",,,,,,,
ai_low_fuel_threshold,0.025,,,,,,,,
major_offensive_attack_ratio,1,,,,,,,,
major_offensive_attack_ratio_nationpower,2,,,,,,,,
major_offensive_attack_ratio_minor,0.5,,,,,,,,
peace_treaty_chance,0.8,"Previously hard coded value, determines change of AI diplomacy action for peace treaty",,,,,,,
tension_vs_enemyofally,5,Extra tension caused for enemies of ally,,,,,,,
#,,Taf params,,,,,,,
taf_mines_max_tf_per_player,2,Max number of task forces that can be attacked by mines each turn (the same TF can be attacked any number of times by different fields and it counts only once),,,,,,,
taf_mines_max_tf_attacks_per_player,1,Max number of times mines can attack task forces in a turn (each attack against a TF is a separate instance),,,,,,,
taf_mines_max_ships_per_player,4,Max number of ships that can be attacked in a turn across all of the task forces of the player and all minefields,,,,,,,
taf_mines_max_ships_per_tf,2,Max number of ships that can be attacked in a single task force (across any number of minefield attacks),,,,,,,
taf_mines_fleetfactor_mult_war,2,Multiplier to fleet_factor when at war with the field owner,,,,,,,
taf_mines_fleetfactor_mult_peace,2800,Multiplier to fleet_factor when not at war with the field owner,,,,,,,
taf_mines_tonnagefactor_war,5,Multiplier to task force battletonnage when at war (this is used as a cap to minefield damage),,,,,,,
taf_mines_tonnagefactor_peace,0.04,Multiplier to task force battletonnage when at war (this is used as a cap to minefield damage),,,,,,,
taf_mines_max_randomdamagefactor,300000,This is the from value when remapping damage to number of ships hit. The damage is a random value between fleet_factor to tonnagefactor times field radius divided by detection value,,,,,,,
taf_mines_default_max_ships_per_tf,10,When the random damage value is taf_mines_max_randomdamagefactor it gets remapped to this number of ships. A higher value will map to a higher number of ships, there is no clamping,,,,,,
taf_mines_antimine_min,0.05,The min value to use for the antimine tech,,,,,,,
taf_mines_antimine_max,10,The max value to use for the antimine tech,,,,,,,
taf_mines_ship_damage_percent_min,1,The minimum percent damage to apply to the ship when it hits a mine,,,,,,,
taf_mines_ship_damage_percent_max,200,The maximum percent damage to apply to the ship when it hits a mine. This is before being multiplied by the dmg_factor_ships and by antimine and by the minefield damage mult. Values above 100 are clamped to 100 which means that the default range of 1 to 200 means half the time the ship is sunk and half the time it takes random damage between 1 and 100 percent,,,,,,,
taf_mines_crew_damage_percent_min,5,The minimum percent damage to the crew of the ship,,,,,,,
taf_mines_crew_damage_percent_max,35,The maximum percent damage to the crew of the ship. This is before being multiplied by the dmg_factor_crew and by antimine and by the minefield damage mult.,,,,,,,
taf_shareddesign_maxYearsIntoFuture,5,the maximum number of years ahead of the current year where a design will be considered. Default 10.,,,,,,,
taf_shareddesign_yearsInPastForSplit,5,ships beyond this number of years in the past will be placed in a lower priority bucket to be used only if there are no newer ships, or some of these ships are very close to the oldest new ship. Default 5.,,,,,,
taf_shareddesign_yearClosenessAroundSplit,3,if an older ship's creation date is closer than this to the oldest new ship it is included as well. Default 3.,,,,,,,
taf_shareddesign_bestTechValue,0.9,if at least one ship has greater than this tech commonality that set of ships will be randomly selected from as the shared design. Default 0.9,,,,,,,
taf_shareddesign_okTechValue,0.75,if there are no best ships any ships with greater tech commonality than this will be the next selection group. Default 0.75.,,,,,,,
taf_shareddesign_minTechValue,0.5,if no better ships are available any ships with greater tech commonality than this will be the final selection group. If no ships make even this level of commonality no shared design is returned. Default 0.5. Lastly when 1890 is the selected year in the shared design constructor only actual starting techs will be enabled for the ship rather than any tech with 1890 as its year. This prevents 1890 shared designs being actually unavailable to the AI on campaign start.,,,,,,,
taf_scrap_enable,0,,,,,,,,
taf_scrap_buildTimeCoeff,1,the coefficient to build time,,,,,,,
taf_scrap_mothballScoreAddYears,5,the score to add when a ship is mothballed,,,,,,,
taf_scrap_hysteresis,50000,In order to not scrap every turn the AI will only scrap when its fleet tonnage is greater than its scrap target plus this. Once scrapping it will scrap down to the scrap target however.,,,,,,,
taf_scrap_capacityExponent,0.7,an exponent to shipyard capacity. This is multiplied by the Coeff to get the scrap target tonnage.,,,,,,,
taf_scrap_capacityCoeff,40,target tonnage is min_fleet_tonnage_for_scrap plus the coeff times (shipyard capacity to the capacity Exponent power).,,,,,,,
taf_conquest_event_chance_mult_starting_duration,0.01,,,,,,,,
taf_conquest_event_chance_mult_full_duration,0.5,,,,,,,,
taf_conquest_event_add_chance,0.66,,,,,,,,
taf_conquest_event_kill_factor,0.05,,,,,,,,
taf_versiontext,3,,,,,,,,
taf_override_map,1,,,,,,,,
taf_shipgen_limit_calibercounts_main,1,,,,,,,,
